 chocolate milk,bread,pasta,soups,
 white bread,yogurt,coffee,,
pip fruit,,,,
tomato,yogurt,cream cheese,meat spreads,bread
cucumber,milk,,,
Potato,butter,yogurt,rice,
sugar,almond milk,Butter,,
watermelon,milk,buns,bottled beer,coffee
beef,,,,
Dairy milk,cereals,,,
chicken,onion,white bread,bottled water,
butter,orange,milk,butter,
bottled water,,,,
yogurt,buns,soda,,
sausage,orange,,,
waffles,sugar,cucumber,pork,spices
brown bread,,,,
soda,,,,
hamburger meat,,,,
chilly,Sugar,onion,chocolate cake,
pork,,,,
grapes, vanilla pastry,,,
ice cream,,,,
oil,cream cheese,beef,detergent,
buns,chilly ,onion,chocolate cake,milk
soda,beer,,,
curd cheese,,,,
frozen potato ,buns,soda,chocolate,
onions,,,,
berries,soda,cucumber,beer,bottled water
fish,soda,bottled water,flour,
popcorn,onion,buns,,
ghee,onion,milk,soda,beer
salt,berries,onion,,
Sugar,grapes,detergent,,
tea,soda,,,
pasta,,,,
egg,,,,
hard cheese,onion,milk,coconut dessert,
apple,egg,pork,,
orange,buns,soda,beer,spread cheese
almond milk,chilly ,milk,yogurt,
dish cleaner,yogurt,,,
bathroom cleaner,,,,
napkins,yogurt,cream cheese,spread cheese,curd
watermelon,,,,
Banana,bottled water,,,
Lays,,,,
honey,,,,
Pepsi,onion,butter,curd,
sausage,buns,cat food,pork,
beer,,,,
ham,grapes,onion,milk,honey
turkey,orange,onion,curd,
milk,yogurt,beef,honey,
milk,curd,,,
Peach,brown bread,beer,beef,
buns,oil,bottled water,honey,
ham,beef,,,
buns, vanilla pastry,sugar,,
onion,milk,tomoto,canned fish,whipped cream
sausage, vanilla pastry,ice cream,yogurt,
sausage,beef,milk,,
apple,orange,buns,brown bread,red  wine
buns, vanilla pastry,soda,,
milk,,,,
curd cheese,coffee,yogurt, vanilla pastry,
red  wine,pork,,,
sausage,milk,curd,,
orange,pip fruit,berries,milk,curd
red  wine,,,,
milk,butter,pasta,Curd,soda
apple,watermelon,milk,egg ,
milk,meat spreads,soda,,
frozen potato ,,,,
onion,milk,buns,sugar,
watermelon,milk,curd,butter milk,cucumber
soda,salt,bottled water,,
sugar,bottled water,soda,bottled beer,
frozen meals,coffee,,,
chocolate,,,,
chilly ,milk,tomoto,egg ,yogurt
chilly ,onions,hard cheese,tomoto,
herbs,almond milk,tomoto,salt,
sausage,chilly ,onions,,
coffee,pork,,,
pork,onion,whipped cream,,
berries,yogurt,,,
berries,hamburger meat,watermelon,Salt,
cucumber,salt,candles,,
watermelon,butter milk,yogurt,cream cheese,coffee
pork,hamburger meat,watermelon,berries,
detergent,,,,
grapes,Ranch,,,
sausage,sliced cheese,buns,brown bread,bottled water
chicken,hamburger meat,watermelon,orange,
milk,yogurt,brown bread,,
watermelon,orange,,,
soda,Soda,,,
sausage,pork,grapes,milk,chilly 
apple,buns,bottled water,,
sausage,milk,yogurt,coffee,
buns,cucumber,,,
beef,watermelon,berries,whipped cream,buns
milk,whipped cream,buns,,
orange,pip fruit,,,
apple,sausage,chilly ,onion,
Peach,bottled water,onion, vanilla pastry,pasta
milk,coconut dessert,tomoto,buns,
berries,whipped cream,,,
watermelon,berries,milk,beef,
orange,milk,yogurt,,
hamburger meat,milk,tomoto,buns,soda
Butter,onion,hamburger meat,tomoto,
milk,cream cheese,soda,,
fish,onion, vanilla pastry,pasta,bread
apple,sausage,Butter,waffles,
Peach,coconut dessert,bread,beer,
 vanilla pastry,soda,,,
onion,red  wine,,,
apple,sausage,watermelon,orange,
Red Wine,,,,
flour,Pepsi,,,
sausage,butter milk,buns,soda,Pepsi
apple,coconut dessert,,,
milk,yogurt,soda,brown bread,
berries,soda,,,
curd,soda,Pepsi,,
orange,onion,coffee,,
buns,Lays,,,
apple,sausage,milk,buns,coffee
onion,Soda,beer,,
milk,tomoto,,,
watermelon,butter,cream cheese,white bread,
