 chocolate milk,bread,pasta,tomato,
 white bread,yogurt,eggplant,,
 tomato,,,,
 tomato,yogurt,cream cheese,banana,bread
 cucumber,milk,,,
 potato,butter,yogurt,bottled water,
 sugar,milk,butter,,
 watermelon,milk,buns,bottled beer,eggplant
 lays,,,,
 chocolate,pepsi,,,
 chicken,onion,white bread,bottled water,
 butter,orange,milk,banana,
 bottled water,,,,
 yogurt,buns,soda,,
 sausage,orange,,,
 waffles,sugar,cucumber,pork,ice cream
 white bread,salt,,,
 soda,pepsi,fish,butter,
 hamburger meat,potato,grapes,
 ice cream,Sugar,onion,chocolate,
 pork,chicken,,
 grapes, oil,
 ice cream,orange,,
 oil,cream cheese,lays,bathroom cleaner
 buns,ice cream ,onion,chocolate,milk
 soda,bottled beer
 cream cheese,tomato,cauliflower,eggplant
 frozen potato,buns,soda,chocolate
 onion,chicken,tomato
 berries,soda,cucumber,bottled beer,bottled water
 fish,soda,bottled water,flour,
 popcorn,onion,buns,,
 ghee,onion,milk,soda,bottled beer
 salt,berries,onion,,
 Sugar,grapes,bathroom cleaner,
 flour,soda,,,
 pasta,,,,
 eggs,oil,green onion
 cream cheese,onion,milk,flour,
 apple,eggs,pork,,
 orange,buns,soda,bottled beer,cream cheese
 milk,ice cream ,apple,yogurt,
 dish cleaner,yogurt,,,
 bathroom cleaner,,,,
 napkins,yogurt,cream cheese,apple,green onion
 watermelon,apple,orange,
 banana,bottled water,,,
 lays,chocolate milk,white bread,
 honey,,
 pepsi,onion,butter,green onion,
 sausage,buns,fish,pork,
 bottled beer,,,,
 fish,grapes,onion,milk,honey
 salt,orange,onion,green onion,
 milk,yogurt,lays,honey,
 cucumber,green onion,,,
 lemon,bread,bottled beer,lays,
 buns,oil,bottled water,honey,
 pork,lays,banana,
 buns,oil,sugar,,
 onion,milk,tomato,fish,waffles
 sausage, oil,ice cream,yogurt,
 sausage,lays,milk,,
 apple,orange,buns,bread,red  wine
 buns,oil,soda,,
 milk,banana,,
 cream cheese,eggplant,yogurt,oil
 red  wine,pork,,
 sausage,milk,green onion,
 orange,tomato,berries,milk,green onion
 red  wine,
 milk,butter,pasta,green onion,soda
 apple,watermelon,milk,eggs ,
 milk,banana,soda,,
 frozen potato ,,
 onion,milk,buns,sugar,
 watermelon,milk,green onion,butter potato,cucumber
 soda,salt,bottled water,,
 sugar,bottled water,soda,bottled beer,
 frozen potato,eggplant,,,
 chocolate,,,,
 ice cream,milk,tomato,eggs,yogurt
 fish,onion,cream cheese,tomato,
 orange,milk,tomato,salt,
 sausage,ice cream,onion,,
 eggplant,pork,,,
 pork,onion,waffles,,
 berries,yogurt,,,
 berries,hamburger meat,watermelon,Salt,
 cucumber,salt,fish,,
 watermelon,butter,yogurt,cream cheese,eggplant
 pork,hamburger meat,watermelon,berries,
 bathroom cleaner,napkins,,
 grapes,berries,,
 sausage,cream cheese,buns,bread,bottled water
 chicken,hamburger meat,watermelon,orange,
 milk,yogurt,bread,,
 watermelon,orange,,
 soda,pepsi,,
 sausage,pork,grapes,milk,ice cream 
 apple,chicken,bottled water,
 sausage,milk,yogurt,eggplant,
 buns,cucumber,,,
 lays,watermelon,berries,waffles,buns
 milk,waffles,buns,,
 orange,tomato,,,
 apple,sausage,ice cream ,onion,
 lemon,bottled water,onion,oil,pasta
 milk,flour,tomato,buns,
 berries,waffles,,,
 watermelon,berries,milk,lays,
 orange,milk,yogurt,,
 hamburger meat,milk,tomato,buns,soda
 butter,onion,hamburger meat,tomato,
 milk,cream cheese,soda,,
 fish,onion,oil,pasta,bread
 apple,sausage,butter,waffles,
 lemon,flour,bread,bottled beer,
 oil,soda,,,
 onion,red  wine,,,
 apple,sausage,watermelon,orange,
 red  wineine,cucumber,,
 flour,pepsi,,
 sausage,butter,buns,soda,pepsi
 apple,flour,,
 milk,yogurt,soda,bread,
 berries,soda,,
 green onion,soda,pepsi,,
 orange,onion,eggplant,,
 buns,lays,,
 apple,sausage,milk,buns,eggplant
 onion,Soda,bottled beer,,
 milk,tomato,,,
 watermelon,butter,cream cheese,white bread,
 apple,buns,,,
 apple,pork,tomato,onion,
 butter,yogurt,honey,soda,
 hamburger meat,watermelon,onion,buns,
 pasta,popcorn,watermelon,flour,onion
 onion,milk,,,
 sausage,pork,watermelon,,
 buns,cucumber,,
 grapes,onion,green onion,flour,strawberries
 ice cream,onion,milk,yogurt,
 eggplant,green onion,
 popcorn,,
 milk,buns,sugar,bottled water,
 orange,onion,lemon,milk,
 lays,orange,,
 banana,buttter,flour,buns,strawberries
 apple,soda,honey,,
 orange,cream cheese,bottled water,,
 eggplant,onion,tomato,bottled beer,
 hamburger meat,ice cream,milk,,
 milk, oil,butter,,
 eggplant,
 onion,red  wine,green onion,,
 pork,orange,onion,milk,butter
 green onion,butter,dish cleaner,salt,
 bottled beer,,,,
 green onion,flour,soda,salt,
 milk,cream cheese,pepsi,napkins,dish cleaner
 banana,salt,bottled water,waffles,
 flour,ice cream,,,
 sausage,cream cheese,eggplant,,
 onion,,,,
 pork,milk,buns,,
 onion,ice cream,cucmber,
 onion,bottled water,
 soda,bottled beer,red  wine,bathroom cleaner,eggs
 orange,candy,,
 apple,pork,orange,,
 buns,bottled beer,,
 green onion,cream cheese,bread,,
 apple,orange,milk,cream cheese,tomato
 napkins,,
 green onion,salt,pepsi,bathroom cleaner,
 lays,berries,ice cream ,
 pork,lays,tomato,orange,
 apple,watermelon,milk,pasta,lays
 sausage,bottled beer,pepsi,,
 chocolate,
 green onion,buns,,
 milk,bottled water,pork,yogurt,soda
 buns,honey,,,
 pork,ice cream,onion,chocolate,
 watermelon,oil,,
 lemon,,
 butter,yogurt,bottled water,soda,flour
 milk,sugar,eggplant,green onion,
 sausage,onion,,
 milk,soda,strawberries,bottled water,
 sausage,pork,lays,milk,
 soda,flour,cream cheese,buns,pork
 bottled water,cucumber,,
 dish cleaner,lemon,,
 sausage,soda,pork,green onion,
 sugar,lays,watermelon,onion,
 Soda,pork,,,
 red  wine,,,,
 sausage,cream cheese,buns,soda,hamburger meat
 lemon,green onion,bottled beer,chocolate milk,
 apple,,,,
 ice cream,buns,bottled beer,,
 orange,berries,ice cream,onion,
 hamburger meat,watermelon,pepsi,green onion,orange
 milk,cucumber,bottled water,,
 sausage,lays,soda,cream cheese,
 apple,sausage,,,
 eggplant,onion,butter,buns,green onion
 ice cream,soda,lays,honey,
 fish,orange,onion,milk,
 milk,waffles,,,
 strawberries,milk,potato,flour,bread
 watermelon,green onion,oil,pasta,
 onion,potato,,,
 watermelon,milk,buns,,
 sausage,oil,berries,napkins,
 apple,lays,hamburger meat,grapes,
 cream cheese,buns,bottled water,pork,onion
 potato,cauliflower,,,
 salt,lays,cucumber,,
 pork,onion,waffles,buns,
 chicken,milk,banana,,
 onion,ice cream,,,
 chicken,bottled water,,,
 soda,bottled beer,red  wine,bathroom cleaner,eggs
 orange,chicken,,,
 apple,pork,orange,,
 buns,bottled beer,,,
 green onion,cream cheese,bread,,
 apple,orange,milk,cream cheese,tomato
 napkins,cucumber,,
 green onion,salt,pepsi,bathroom cleaner,
 lays,berries,ice cream ,,
 pork,lays,tomato,orange,
 apple,watermelon,milk,pasta,lays
 sausage,bottled beer,pepsi,,
 chocolate,,,
 green onion,buns,,
 fish,bottled water,pork,yogurt,soda
 buns,honey,,,
 pork,ice cream,onion,milk,
 watermelon,oil,,
 cauliflower,cucumber,,
 butter,yogurt,bottled water,soda,flour
 milk,sugar,eggplant,green onion,
 cauliflower,soda,,
 apple,sausage,,,
 milk,bottled water,pork,,
